class_size_cap,n_reps,K_mean_end_mean,K_mean_end_sd,K_p10_end_mean,K_p10_end_sd,K_p50_end_mean,K_p50_end_sd,K_p90_end_mean,K_p90_end_sd,A_mean_end_mean,A_mean_end_sd,A_p10_end_mean,A_p10_end_sd,A_p50_end_mean,A_p50_end_sd,A_p90_end_mean,A_p90_end_sd,K_mean_gain_mean,K_mean_gain_sd,A_mean_gain_mean,A_mean_gain_sd,incidents_avg_per_day_mean,incidents_avg_per_day_sd,time_lost_avg_mean,time_lost_avg_sd,time_lost_max_mean,time_lost_max_sd
12,10,0.9752308110702129,0.0015368186986688256,0.9737671969640828,0.0018641627433723645,0.9754138196027163,0.0015039673109264755,0.9763616390337596,0.0013605393615328165,0.9911282446248085,0.0017926219689117263,0.9778271419287309,0.004054519929111881,0.9958,0.0028982753492378904,1.0,0.0,0.5428586849480691,0.015254888539142385,0.5282155451860501,0.02468291966998287,40.35666666666667,0.6292471605228458,0.16142222222222224,0.002521653821851148,0.21040000000000003,0.007589466384404124
14,10,0.9728953871271364,0.0014955823488204015,0.9712922322324818,0.0018191603110371227,0.9732059725188367,0.0014365063366743875,0.974187793086615,0.0012541845966601891,0.9917851845056136,0.0028721283065896155,0.9812799999999999,0.006171043491807347,0.9976003247621977,0.00291374335089344,1.0,0.0,0.5402456308176399,0.01766558041906403,0.5341033851934772,0.019627092190200045,41.74777777777778,0.8663508446398787,0.18584444444444445,0.0038770719935020885,0.2475666666666667,0.01142128184628792
16,10,0.9653392102396658,0.003493733620894225,0.9618299941047102,0.004503718816302476,0.9659165162586107,0.0032748685280407043,0.96787571512781,0.002757548508731482,0.9945946860980034,0.0016282101270749497,0.9863075479280894,0.005289483602238915,0.9998,0.0006324555320336764,1.0,0.0,0.5367159884691701,0.01561522216842366,0.5433222478173818,0.020615205201662132,44.376666666666665,0.8148897271960861,0.22160555555555556,0.00398147717484694,0.2885,0.013343745934165395
18,10,0.9544015714406413,0.0035717063863050565,0.9484957140116663,0.004419725297964705,0.9551888316675152,0.0035774128872272967,0.9591238518856694,0.002761911441654808,0.9959175054913711,0.003408072082379803,0.9923193623120355,0.004011056400534083,1.0,0.0,1.0,0.0,0.5342011540509343,0.0217769662288814,0.5363888579524315,0.016921830241032044,47.06,0.6328501514015333,0.2671303703703704,0.003360753611569467,0.33236666666666664,0.016887755809943963
20,10,0.9346131204975046,0.004975693356285905,0.9231819840149333,0.006137374506325642,0.9361057989126681,0.004701445002594388,0.9446405609045011,0.003592620877631608,0.9983468949983791,0.001358423607816762,0.99914,0.0026500314463542896,1.0,0.0,1.0,0.0,0.5183405702850714,0.020448670200397284,0.5379104130385508,0.009345030123910025,51.33444444444444,0.39417744397519766,0.32886666666666664,0.0020510331001547012,0.386,0.007336699564097428
22,10,0.9328267736547502,0.005413107857608175,0.9196440917308737,0.008163118568473054,0.9344519209804212,0.004942810239255191,0.9441076238885864,0.003608436395279243,0.9973934065398418,0.0011419852365724104,0.9969777376161523,0.003139352599039363,1.0,0.0,1.0,0.0,0.5205229277931442,0.025446815243500214,0.5403118281391032,0.022681378683887365,51.522222222222226,0.41249350495780385,0.32956296296296295,0.002465540592455686,0.38866666666666666,0.006324555320336778
24,10,0.9050483764992724,0.005769787924199147,0.8848634120321064,0.007403213624125877,0.906543534177813,0.006362444182902973,0.9235907004874352,0.004833238234748386,0.9972270068778019,0.002317122938655802,1.0,0.0,1.0,0.0,1.0,0.0,0.4806941076751503,0.02305655526182236,0.5367915710860138,0.02010217003054862,56.85333333333333,0.8723586431020144,0.3826666666666667,0.0014897546773305506,0.4000000000000001,0.0
26,10,0.9030995399058341,0.006017815872449788,0.881693637302067,0.00698472236777491,0.9046442131016149,0.00596666202987696,0.9220202154605938,0.005316040945233464,0.9975124353691354,0.0025893314139822056,0.9996137455612766,0.0012214437827160213,1.0,0.0,1.0,0.0,0.48931102563435386,0.010434926165902119,0.5495714307770935,0.015667348431574742,56.79555555555555,0.6179571637592904,0.3826400000000001,0.0013878880344462693,0.4000000000000001,0.0
28,10,0.8974105808803803,0.0067490196972389395,0.8759852277702403,0.008726774312878475,0.8985125569826433,0.006842958275247066,0.9185182462263932,0.005186917946909739,0.9941143888014324,0.0038776052379110074,0.9994,0.0018973665961010294,1.0,0.0,1.0,0.0,0.4881751602960089,0.02221975725435158,0.5489641301058272,0.017311927566727687,57.02777777777778,1.0210440069837972,0.38288000000000005,0.003163911732106279,0.4000000000000001,0.0
30,10,0.8493555465755729,0.006964444062510959,0.8126857868323258,0.011350738035807217,0.8493485910528452,0.007747281110695957,0.8868176702737525,0.005928006607182093,0.9968431715810459,0.0030136917016786993,1.0,0.0,1.0,0.0,1.0,0.0,0.4458181560812305,0.013986648030238897,0.5449850591642894,0.02026395680951678,66.02333333333334,0.6742866982525526,0.3997888888888889,0.00017723683131860772,0.4,0.0
